"transcript_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"NM_001354679>PRKCD",-2.72407573015873,0.872554795652174,-6.73122460669653,2.7862407641525e-08,0.000456191200314688,6.43726496564758,"PRKCD"
"NM_001134419>CDC7",2.31767101587302,-0.256635603913043,4.73995012267748,2.24933651694606e-05,0.122761289306526,1.75023485027644,"CDC7"
"NM_001281440>SMAP1",2.45767028571429,0.811987070434783,4.50421122638215,4.83310302665764e-05,0.197830989638664,1.19651686611466,"SMAP1"
"NM_001242843>ZNF195",2.2717235047619,-0.733254547826087,4.42529137731822,6.22791986989478e-05,0.203939464059574,1.01238292639552,"ZNF195"
"NM_001184750>SLITRK4",1.86902443650794,-0.311007067391304,4.35040161229532,7.91196791826275e-05,0.215904417876193,0.838340366498054,"SLITRK4"
"NM_001286812>LYSMD3",2.36621561428571,0.721415802173913,4.18043638173959,0.000135530787526663,0.317006512024865,0.446190031521578,"LYSMD3"
"NM_001256964>CCDC51",-3.64840120634921,-2.71840961304348,-3.76009224041331,0.000495932943073194,0.369086821678973,-0.502041521237023,"CCDC51"
"NM_001348065>DCTN2",2.37416456666667,-0.949208789130435,3.85938796894425,0.000366788176797138,0.369086821678973,-0.281277402660535,"DCTN2"
"NM_001033025>EXTL2",1.87548414285714,0.0989171463043478,3.9385363856495,0.000287757820555571,0.369086821678973,-0.103772784443657,"EXTL2"
"NM_001284238>GTDC1",2.47900193650794,-1.76389204347826,3.76801249814375,0.000484199194589665,0.369086821678973,-0.48451480607009,"GTDC1"
"NM_001321265>MBOAT2",1.45333633333333,1.53885050869565,3.81860855172146,0.000415321606426446,0.369086821678973,-0.372210176201373,"MBOAT2"
"NM_001244992>PPP1R12A",1.70342525396825,3.11068515217391,3.78442553671254,0.000460729635264396,0.369086821678973,-0.448148049651576,"PPP1R12A"
"NM_000944>PPP3CA",1.92992296507937,1.84152075217391,3.87567570792426,0.000348976411388798,0.369086821678973,-0.244856805495098,"PPP3CA"
"NM_001300823>PRDM5",2.0591995984127,0.434500003695652,4.06152631609485,0.000196635027211476,0.369086821678973,0.174528742445637,"PRDM5"
"NM_001271187>RAP2C",3.3994306984127,2.3724737173913,3.83174865759506,0.000399042650750899,0.369086821678973,-0.342949433998629,"RAP2C"
"NM_001352428>RCBTB2",2.11628521777778,3.19217941391304,3.89852716555206,0.000325390205304169,0.369086821678973,-0.193664170530599,"RCBTB2"
"NM_001365135>SMPD1",-3.17330541269841,-1.56071123913043,-3.90293932474573,0.000321017307756411,0.369086821678973,-0.1837672687047,"SMPD1"
"NM_001322169>TANGO2",1.71548766825397,-0.612475932608696,3.76342755052339,0.000490958697536322,0.369086821678973,-0.494662609535618,"TANGO2"
"NM_001363810>VMA21",2.20305257301587,-1.60823994130435,4.0160038504303,0.000226510687655563,0.369086821678973,0.0711859378004558,"VMA21"
"NM_001348426>ZNF148",1.57323311111111,1.52843956521739,3.87640225644584,0.000348201683408179,0.369086821678973,-0.243230866545455,"ZNF148"
"NM_001128426>AP1AR",2.97824857142857,-2.30675291304348,3.73104047065303,0.000541363874774439,0.369322946736746,-0.56620354723119,"AP1AR"
"NM_001039937>INTS6",2.05248082539683,3.71403682608696,3.73762604369109,0.000530726695559587,0.369322946736746,-0.551676610913244,"INTS6"
"NM_001164319>FLNB",-1.24051506349206,2.36970932608696,-3.66203872626645,0.000665896196890648,0.419335324295792,-0.717777113178334,"FLNB"
"NM_001350208>OSBPL9",2.17987903968254,-1.47647524565217,3.66252797842472,0.000664923185802974,0.419335324295792,-0.716706554804454,"OSBPL9"
"NM_001145335>UBE2Q2",3.00671463492063,0.0917143043478261,3.64582700925846,0.000698922741699593,0.423831927772127,-0.753216461283268,"UBE2Q2"
"NM_001271886>AAGAB",-1.35522596349206,-0.615239491304348,-2.65794930689722,0.0109055510633906,0.433799366589127,-2.75384390414824,"AAGAB"
"NM_001365649>ABHD5",1.07257722206349,0.547275530652174,2.90637986045776,0.00569712898952905,0.433799366589127,-2.28487442188916,"ABHD5"
"NM_001352443>ABLIM1",-1.08085581269841,0.958692352173913,-2.666038384916,0.0106827214654042,0.433799366589127,-2.73900156419877,"ABLIM1"
"NM_001135705>ACBD4",-2.63739672857143,-3.27140328913043,-2.77823109545521,0.00799480969194262,0.433799366589127,-2.53011415810273,"ACBD4"
"NM_001300953>ACER3",1.20361311587302,1.82075535,2.66300289669227,0.0107658446693906,0.433799366589127,-2.74457477131611,"ACER3"
"NM_001185039>ACOX1",1.07467619047619,3.26287086956522,2.95239489393679,0.0050346412692437,0.433799366589127,-2.19516671624369,"ACOX1"
"NM_001164490>ADAM8",0.998980634920636,3.6309247826087,2.99963384637649,0.00442995312668611,0.433799366589127,-2.10220111459888,"ADAM8"
"NM_001302679>ADORA3",2.66895695238095,-0.00374061956521739,3.00981521463618,0.00430886477939117,0.433799366589127,-2.08205073390099,"ADORA3"
"NM_001291950>ADPRH",2.19729979365079,1.5072232173913,3.24911239413902,0.00221631551230329,0.433799366589127,-1.59746226753587,"ADPRH"
"NM_001267043>AEBP2",1.57565205873016,1.03480813956522,2.78339564798372,0.00788762749012809,0.433799366589127,-2.52036509418443,"AEBP2"
"NM_001169125>AFF2",-1.68080917460318,-2.45134851304348,-2.74102009058754,0.00880782267224182,0.433799366589127,-2.60001409542734,"AFF2"
"NM_001304444>ALAS1",-1.48646896349206,-0.798913839130435,-2.84484177943932,0.00671057284175397,0.433799366589127,-2.40349904752362,"ALAS1"
