"logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
-4.14382197908384,-0.67481097826087,-8.08827169551449,1.763677668465e-10,2.88766944657774e-06,13.5318705332414,"DOWN"
-3.12663035205513,0.872554795652174,-7.76179732473084,5.45808224465382e-10,4.46825902958585e-06,12.4896065376002,"DOWN"
-3.79509612023672,-2.85899556956522,-6.7539644795305,1.85207762187423e-08,9.22906586549043e-05,9.22231151842327,"DOWN"
3.70218613940616,2.50984696956522,6.69796662715349,2.25470368667695e-08,9.22906586549043e-05,9.03939454229092,"UP"
-4.77128321234803,-2.76380095652174,-6.59604253319316,3.22553183948601e-08,9.5748749987933e-05,8.70630977478551,"DOWN"
4.1021328327292,1.97188680434783,6.5720842829208,3.50877969784156e-08,9.5748749987933e-05,8.6279942903932,"UP"
-3.81461938046189,-3.20122069347826,-6.44717217150361,5.44150321731697e-08,0.000118997687358436,8.21961509344932,"DOWN"
5.11469009816986,1.57676871956522,6.42415539438935,5.89963261360787e-08,0.000118997687358436,8.14436252976172,"UP"
3.08467332293508,1.5072232173913,6.36318957389658,7.30793357104888e-08,0.000118997687358436,7.9450479422996,"UP"
2.5600770594747,3.71403682608696,6.35067063543024,7.63627540173557e-08,0.000118997687358436,7.90412329775195,"UP"
3.52523555807392,2.7855337173913,6.33760344321419,7.99471423039636e-08,0.000118997687358436,7.86140804792048,"UP"
3.09984696261873,2.20065243478261,6.27613400884954,9.91954610746658e-08,0.000135343940347959,7.66049976921287,"UP"
-4.58513731692595,-2.91270411521739,-6.23814316123818,1.13337560753884e-07,0.000142744298632564,7.53635981863692,"DOWN"
5.60944951382298,1.69491317826087,6.18823772721637,1.35014162638755e-07,0.000157899063206024,7.3733330154941,"UP"
3.86972329072802,0.243963369565217,6.1213243878977,1.7069765764481e-07,0.000186322183241231,7.15484708175937,"UP"
2.75356138261085,4.55051326086957,6.05690233583929,2.13899035518583e-07,0.000207270284241166,6.94463026653227,"UP"
3.78392391260402,0.0917143043478261,6.0481610552163,2.20545102536518e-07,0.000207270284241166,6.91611811049884,"UP"
1.93899140551216,1.52843956521739,6.0222535581568,2.41475401717584e-07,0.000207270284241166,6.83163141217092,"UP"
-4.06705623862054,-2.66099540652174,-6.01982939720838,2.43532271758007e-07,0.000207270284241166,6.82372741868544,"DOWN"
4.1373495312856,0.951422504782609,6.00451388767023,2.56936700930408e-07,0.000207270284241166,6.77379689937934,"UP"
4.24353851970937,2.1135866326087,5.99476981098922,2.6584474250684e-07,0.000207270284241166,6.74203529828935,"UP"
-3.9867153365606,-1.36731834782609,-5.96260473132118,2.97490743648151e-07,0.000221400724806872,6.63722144364229,"DOWN"
2.35765548478344,-0.256635603913043,5.93844146873261,3.23706195388736e-07,0.000230436588569556,6.55851519157063,"UP"
2.71452661857777,2.73427113695652,5.89568489128788,3.75850396343531e-07,0.000256408272472193,6.41931932981737,"UP"
5.02263770605379,3.23301158043478,5.85403764300117,4.34658933444571e-07,0.000284666828691518,6.28383255963255,"UP"
3.57871365751111,6.31884695652174,5.83331853685603,4.67238406796521e-07,0.000288130107433433,6.21646757457409,"UP"
2.54538038856516,5.72185500565217,5.82850843143441,4.75142790001997e-07,0.000288130107433433,6.20083205774209,"UP"
